客户编号,找投顾,选组合,投顾观点详情页,投顾观点列表,投顾个人页,投顾观点评论页,投顾组合评论页,投顾组合详情页,互联网投顾首页,客户编号,关注投顾,签约投顾,IM联系投顾,组合详情页点击调仓历史,投顾业务适当性匹配,关注组合,投顾观点活跃,是否购买
50181013,0,0,0,0,0,0,0,0,0,50181013,0,0,0,0,0,0,0,1
40591014,0,0,0,0,0,0,0,0,0,40591014,0,0,0,0,0,0,0,1
46721017,0,0,0,0,0,0,0,0,0,46721017,0,0,0,0,0,0,0,1
14091020,5,1,12,2,9,0,1,11,5,14091020,0,2,1,1,0,1,2,1
80021020,0,1,4,0,1,0,0,3,2,80021020,0,0,0,0,1,0,0,1
19891033,0,0,0,0,0,0,0,0,0,19891033,0,0,0,0,0,0,0,1
35611037,0,0,0,0,0,0,0,0,0,35611037,0,0,0,0,0,0,0,1
58991040,0,0,1,0,0,0,0,1,0,58991040,0,0,0,0,0,0,0,0
19691042,1,0,8,1,1,0,0,12,11,19691042,0,0,0,0,1,0,0,1
21111042,0,1,0,1,1,0,0,0,3,21111042,0,0,0,0,1,0,0,1
77611218,0,0,0,0,0,0,0,0,0,77611218,0,0,0,0,0,0,0,1
14831224,0,0,0,0,0,0,0,0,0,14831224,0,0,0,0,0,0,0,1
10111232,0,0,16,0,8,0,0,11,2,10111232,0,0,0,0,0,0,0,1
41371303,0,0,0,0,0,0,0,0,0,41371303,0,0,0,0,0,0,0,1
24171336,0,0,0,0,0,0,0,0,0,24171336,0,0,0,0,0,0,0,1
92701342,0,0,0,0,0,0,0,0,0,92701342,0,0,0,0,0,0,0,1
02531827,0,0,0,0,0,0,0,0,0,02531827,0,0,0,0,0,0,0,1
88201830,0,0,0,0,0,0,0,0,0,88201830,0,0,0,0,0,0,0,1
22331844,0,0,0,0,0,0,0,0,0,22331844,0,0,0,0,0,0,0,1
65431846,0,0,0,0,0,0,0,0,0,65431846,0,0,0,0,0,0,0,1
12861857,0,0,0,0,0,0,0,0,0,12861857,0,0,0,0,0,0,0,1
04891893,0,0,0,0,0,0,0,0,0,04891893,0,0,0,0,0,0,0,1
30041898,0,0,0,0,0,0,0,0,0,30041898,0,0,0,0,0,0,0,1
71881904,0,0,0,0,0,0,0,0,0,71881904,0,0,0,0,0,0,0,1
55622001,0,0,0,0,0,0,0,0,0,55622001,0,0,0,0,0,0,0,1
86572040,0,0,0,0,0,0,0,0,0,86572040,0,0,0,0,0,0,0,1
24902041,0,0,0,0,0,0,0,0,0,24902041,0,0,0,0,0,0,0,1
24212060,0,0,0,0,0,0,0,0,0,24212060,0,0,0,0,0,0,0,1
40782060,0,0,0,0,0,0,0,0,0,40782060,0,0,0,0,0,0,0,1
52912060,0,0,0,0,0,0,0,0,0,52912060,0,0,0,0,0,0,0,0
48392061,0,0,0,0,0,0,0,0,0,48392061,0,0,0,0,0,0,0,1
91762370,0,0,0,0,0,0,0,0,0,91762370,0,0,0,0,0,0,0,0
98632501,0,0,0,0,0,0,0,0,0,98632501,0,0,0,0,0,0,0,1
49692641,0,0,0,0,0,0,0,0,0,49692641,0,0,0,0,0,0,0,1
58162850,0,0,0,0,0,0,0,0,0,58162850,0,0,0,0,0,0,0,1
82642850,0,0,0,0,0,0,0,0,0,82642850,0,0,0,0,0,0,0,1
37512860,0,0,0,0,0,0,0,0,0,37512860,0,0,0,0,0,0,0,1
27032870,0,0,0,0,0,0,0,0,0,27032870,0,0,0,0,0,0,0,1
29102900,0,0,0,0,0,0,0,0,0,29102900,0,0,0,0,0,0,0,1
82962901,0,0,0,0,0,0,0,0,0,82962901,0,0,0,0,0,0,0,1
12033040,0,0,0,0,0,0,0,0,0,12033040,0,0,0,0,0,0,0,1
29173051,0,0,0,0,0,0,0,0,0,29173051,0,0,0,0,0,0,0,1
